Name,Brand,Price,Discount,Number of reviews,Rating
"Starlink Mini kit : High-Speed, Low-Latency Internet, Wi-Fi 5",Starlink,"KSh 24,000",,Product Reviews (21),4.4
"VON VCF503131NFY, 3 Gas + 1 electric hotplate, Electric oven 50x50 Grey (1YR WRTY)",VON,"KSh 18,499",,Product Reviews (60),4.2
"Itel A80, 6.7"", 3GB RAM + 128GB (Dual SIM), 5000mAh, Black (1 YR WRTY)",Itel,"KSh 8,899",,Product Reviews (4),4.3
"Vitron V527 - 2.1 CH Multimedia Speaker, BT/USB/SD/FM - 9000W (1YR WRTY)",Vitron,"KSh 5,399",,Product Reviews (652),4
"Vitron HTC3200S, 32"" Smart Frameless Android LED TV, With Bluetooth, (1YR WRTY)",Vitron,"KSh 10,599",,Product Reviews (304),4
"Lenovo Refurbished ThinkPad Yoga 11e  X360 Intel -Touchscreen- 11.6""- 4GB RAM - SSD 128GB - Black",Lenovo,"KSh 10,899",,Product Reviews (64),4
Solarmax Special All Weathered Solarmax  Fullkit -100watts Solar Panel + 80AH Battery + 300w Inverter + 10 Amp Charge Controller + 4 Bulbs,Solarmax,"KSh 10,669",,Product Reviews (6),3.6
"Itel A50, 6.6'', 64GB + 2GB RAM (Dual SIM), 4G, 5000mAh, Black",Itel,"KSh 6,999",,Product Reviews (3),4.9
Lyons GK-011 Stainless Steel Double Burner Gas Cooker Table Top Gas Stove - Black (1YR WRTY),Lyons,"KSh 1,379",,Product Reviews (63),3.8
"Infinix Note 40 Pro, 6.78'', 256GB + 8GB RAM (UPTO 16GB RAM), Dual SIM, 5000mAh, Black (1YR  WRTY)",Infinix,"KSh 26,100",,Product Reviews (2),4.2
NIVEA Radiant & Beauty Advanced Care Lotion For Women - 400ml (Pack Of 2),NIVEA,"KSh 1,022",,Product Reviews (388),4.4
AILYONS AFK-111 Water Dispenser Hot And Normal With Storage Cabinet (1YR WRTY),AILYONS,"KSh 2,699",,Product Reviews (328),3.9
4 Pcs Classic Cotton  Ladies Pants  - Assorted Colors,4,KSh 489,,Product Reviews (80),3.8
Sports Bluetooth  Into The Ear Neck Hanging Type Running Stereo Large Capacity Wireless Earphone,Sports,KSh 299,,Product Reviews (75),3.7
Istanbul 2 Modern TV Stand With LED Lights,Istanbul,"KSh 5,030",,Product Reviews (270),3.7
"Em Blender 2 In 1 Grinding Machine With Durable Motor 1.5L, White  BD01 (1YR WRTY)",Em,"KSh 1,359",,Product Reviews (25),4
"Em ElectroMate Blow Dryer Hair Blower 2200W With 3 Speed & 2 Temperature Settings, Black",Em,KSh 740,,Product Reviews (8),3.6
STY 4pcs Ladies Handbags Women Shoulder Tote Bags Set PU Leather-Black,STY,KSh 799,,Product Reviews (648),3.4
"Samsung GALAXY A16, 6.7'' HD+, 4GB RAM + 128GB ROM, DUAL SIM, 50MP, 5000mAh  COMES WITH FREE GIFTS ( AIRPODS + SMART WATCH +POWERBANK ) FOR YOU",Samsung,"KSh 16,840",,Product Reviews (25),4.2
Men's 2-in-1 Short Sleeve&Shorts Set,Men's,KSh 780,,Product Reviews (7),3.3
ZTE Blade A35 4GB RAM 64GB ROM,ZTE,"KSh 7,500",,Product Reviews (0),5
Stylish Mock Neck Ribbed Bodycon Dress(Hips 36-44inches Fit),Stylish,KSh 515,,Product Reviews (108),3.9
"Wireless Earbuds Bluetooth 5.3 Headphones 24H Playback Charging Case, IPX7 Waterproof Earphone",Wireless,KSh 558,,Product Reviews (25),4.1
"Itel P65 128GB + 4GB (UPTO 8GB) RAM, 6.7"", 500mAh, Cyber Black+ FREE Wireless Charging Case",Itel,"KSh 9,299",,Product Reviews (3),4.3
Mateamoda Men Shoes Loafers Casual Shoes Slip-Ons Business Loafers Formal Shoes,Mateamoda,KSh 684 - KSh 699,,Product Reviews (1),2.3
MATIHO One-piece Hair Clippers,MATIHO,KSh 249,,Product Reviews (36),3.8
"Itel S24, 6.6'', 128GB + 4GB (Extended UPTO 8GB) RAM, 5000mAh, Coastline Blue",Itel,"KSh 8,799",,Product Reviews (3),5
Eurochef EK- K12 STAINLESS STEEL CORDLESS ELECTRIC KETTLE WITH 2.3 L,Eurochef,KSh 549,,Product Reviews (3),4.2
